2025-05-27 18:52:02,208 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=2000, MaxR=44.19, Pheno={'G_SPECIALIST': 1879, 'SWITCHING_GL': 59, 'L_SPECIALIST': 62}
2025-05-27 18:52:02,336 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=2017, MaxR=44.23, Pheno={'G_SPECIALIST': 1889, 'SWITCHING_GL': 60, 'L_SPECIALIST': 68}
2025-05-27 18:52:02,469 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=2040, MaxR=44.53, Pheno={'G_SPECIALIST': 1903, 'SWITCHING_GL': 63, 'L_SPECIALIST': 74}
2025-05-27 18:52:02,598 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=2068, MaxR=44.53, Pheno={'G_SPECIALIST': 1915, 'L_SPECIALIST': 82, 'SWITCHING_GL': 71}
2025-05-27 18:52:02,732 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=2098, MaxR=44.93, Pheno={'G_SPECIALIST': 1926, 'L_SPECIALIST': 96, 'SWITCHING_GL': 76}
2025-05-27 18:52:02,863 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=2114, MaxR=45.92, Pheno={'G_SPECIALIST': 1932, 'L_SPECIALIST': 104, 'SWITCHING_GL': 78}
2025-05-27 18:52:02,972 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=2124
2025-05-27 18:52:02,995 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=2124, MaxR=47.66, Pheno={'G_SPECIALIST': 1933, 'L_SPECIALIST': 114, 'SWITCHING_GL': 77}
2025-05-27 18:52:03,126 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=2133, MaxR=47.66, Pheno={'G_SPECIALIST': 1935, 'L_SPECIALIST': 123, 'SWITCHING_GL': 75}
2025-05-27 18:52:03,259 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=2142, MaxR=47.66, Pheno={'G_SPECIALIST': 1936, 'L_SPECIALIST': 134, 'SWITCHING_GL': 72}
2025-05-27 18:52:03,393 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=2157, MaxR=47.66, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 148, 'SWITCHING_GL': 65}
2025-05-27 18:52:03,531 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=2174, MaxR=47.66, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 162, 'SWITCHING_GL': 67}
2025-05-27 18:52:03,670 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=85.00: Cells=2192, MaxR=47.66, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 186, 'SWITCHING_GL': 61}
2025-05-27 18:52:03,809 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=86.00: Cells=2207, MaxR=47.66, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 202, 'SWITCHING_GL': 60}
2025-05-27 18:52:03,953 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=87.00: Cells=2224, MaxR=47.66, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 221, 'SWITCHING_GL': 58}
2025-05-27 18:52:04,096 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=88.00: Cells=2241, MaxR=47.66, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 240, 'SWITCHING_GL': 56}
2025-05-27 18:52:04,240 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=89.00: Cells=2261, MaxR=47.66, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 263, 'SWITCHING_GL': 53}
2025-05-27 18:52:04,360 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=90.00, Cells=2277
2025-05-27 18:52:04,384 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=90.00: Cells=2277, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 282, 'SWITCHING_GL': 50}
2025-05-27 18:52:04,526 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=91.00: Cells=2295, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 303, 'SWITCHING_GL': 47}
2025-05-27 18:52:04,671 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=92.00: Cells=2317, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 328, 'SWITCHING_GL': 44}
2025-05-27 18:52:04,818 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=93.00: Cells=2337, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 351, 'SWITCHING_GL': 41}
2025-05-27 18:52:04,973 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=94.00: Cells=2362, MaxR=49.39, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 381, 'SWITCHING_GL': 36}
2025-05-27 18:52:05,138 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=95.00: Cells=2376, MaxR=49.39, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 396, 'SWITCHING_GL': 35}
2025-05-27 18:52:05,291 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=96.00: Cells=2395, MaxR=49.39, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 417, 'SWITCHING_GL': 33}
2025-05-27 18:52:05,447 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=97.00: Cells=2418, MaxR=49.51, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 443, 'SWITCHING_GL': 30}
