2025-05-27 19:50:11,032 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=2015, MaxR=43.71, Pheno={'G_SPECIALIST': 1899, 'L_SPECIALIST': 43, 'SWITCHING_GL': 73}
2025-05-27 19:50:11,159 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=2039, MaxR=45.30, Pheno={'G_SPECIALIST': 1908, 'L_SPECIALIST': 53, 'SWITCHING_GL': 78}
2025-05-27 19:50:11,289 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=2057, MaxR=45.30, Pheno={'G_SPECIALIST': 1913, 'L_SPECIALIST': 66, 'SWITCHING_GL': 78}
2025-05-27 19:50:11,418 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=2066, MaxR=45.30, Pheno={'G_SPECIALIST': 1916, 'L_SPECIALIST': 75, 'SWITCHING_GL': 75}
2025-05-27 19:50:11,560 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=2086, MaxR=45.30, Pheno={'G_SPECIALIST': 1925, 'L_SPECIALIST': 88, 'SWITCHING_GL': 73}
2025-05-27 19:50:11,699 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=2099, MaxR=45.30, Pheno={'G_SPECIALIST': 1927, 'L_SPECIALIST': 101, 'SWITCHING_GL': 71}
2025-05-27 19:50:11,837 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=2115, MaxR=45.30, Pheno={'G_SPECIALIST': 1933, 'L_SPECIALIST': 111, 'SWITCHING_GL': 71}
2025-05-27 19:50:11,970 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=2129, MaxR=46.89, Pheno={'G_SPECIALIST': 1935, 'L_SPECIALIST': 123, 'SWITCHING_GL': 71}
2025-05-27 19:50:12,104 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=2145, MaxR=46.89, Pheno={'G_SPECIALIST': 1936, 'L_SPECIALIST': 138, 'SWITCHING_GL': 71}
2025-05-27 19:50:12,239 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=2168, MaxR=46.89, Pheno={'G_SPECIALIST': 1936, 'L_SPECIALIST': 161, 'SWITCHING_GL': 71}
