2025-05-27 19:42:20,774 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1832, MaxR=42.67, Pheno={'G_SPECIALIST': 1775, 'SWITCHING_GL': 38, 'L_SPECIALIST': 19}
2025-05-27 19:42:20,892 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1866, MaxR=42.67, Pheno={'G_SPECIALIST': 1803, 'SWITCHING_GL': 41, 'L_SPECIALIST': 22}
2025-05-27 19:42:21,014 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1896, MaxR=42.67, Pheno={'G_SPECIALIST': 1830, 'SWITCHING_GL': 40, 'L_SPECIALIST': 26}
2025-05-27 19:42:21,135 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1924, MaxR=42.67, Pheno={'G_SPECIALIST': 1850, 'SWITCHING_GL': 43, 'L_SPECIALIST': 31}
2025-05-27 19:42:21,257 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1970, MaxR=43.27, Pheno={'G_SPECIALIST': 1880, 'SWITCHING_GL': 52, 'L_SPECIALIST': 38}
2025-05-27 19:42:21,383 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1992, MaxR=43.27, Pheno={'G_SPECIALIST': 1893, 'SWITCHING_GL': 57, 'L_SPECIALIST': 42}
2025-05-27 19:42:21,489 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=2014
2025-05-27 19:42:21,510 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=2017, MaxR=43.30, Pheno={'G_SPECIALIST': 1904, 'SWITCHING_GL': 66, 'L_SPECIALIST': 47}
2025-05-27 19:42:21,639 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=2042, MaxR=43.71, Pheno={'G_SPECIALIST': 1915, 'SWITCHING_GL': 76, 'L_SPECIALIST': 51}
2025-05-27 19:42:21,768 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=2058, MaxR=43.71, Pheno={'G_SPECIALIST': 1921, 'L_SPECIALIST': 60, 'SWITCHING_GL': 77}
2025-05-27 19:42:21,899 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=2078, MaxR=45.00, Pheno={'G_SPECIALIST': 1926, 'L_SPECIALIST': 77, 'SWITCHING_GL': 75}
